Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
1;Prado Chaves – Diretoria 8º andar;Lux Publicações;Lux Publicações;1994 a 1996; ;
2;Prado Chaves – Diretoria 8º andar;Caminhos de San Conrado;Caminhos de San Conrado (Correspondências Recebidas e Expedidas, documentos legais, propostas, diversos);-; ;
3;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Caminhos de San Conrado - Tenis Clube Campinas/ Ribeirão Preto - Correspondências Recebidas e Expedidas, Estudos, contratos, propostas, diversos/ D. Maria Cecília - Diversos;-; ;
4;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Edifícios: José Martins Borges (Av. Paulista 302) Edifício Paulino Longo (Rua Cincinato Braga, 144) - Correspondências Expedidas e Recebidas, Plantas, Relatório Falcão Bauer, Correspondências;-; ;
5;Prado Chaves – Diretoria 8º andar;Múltiplos projetos; Aricanduva - Correspondências Expedidas e Recebidas, Documentos Legais, Minutas, Plantas, Contratos / Residencial Morumbi- Correspondências Expedidas e Recebidas, Contratos, Orçamentos, Propostas, Requerimentos / Somobra - Correspondências Expedidas e Recebidas, Documentos Legais / Minutas/ Diversos;-; ;
 ;;;;;;
;;;;;;
6;Prado Chaves – Diretoria 8º andar;Capital Center Hotéis;Capital Center Hotéis - Correspondências Recebidas, Expedidas, Contratos, Recibos, Requerimentos, Estudos, Documentos Legais;-; ;
;;;;;;
7;Prado Chaves – Diretoria 8º andar;Solarium;Solarium - Correspond ncias Recebidas, Expedidas, Plantas, Documentos Legais, Diversos;-; ;
7;Prado Chaves – Diretoria 8º andar;Fazenda Santa Cândida;Fazenda Santa Cândida- Correspondências Recebidas, Diversos, Docs Legais;-; ;
;;;;;;
8;Prado Chaves – Diretoria 8º andar;Fazenda Santa Cândida;Fazenda Santa Cândida - Diversos;-; ;
8;Prado Chaves – Diretoria 8º andar;Fazenda Santa Adelaide;Fazenda Santa Adelaide - Correspondências Recebidas, Expedidas, Diversos;-; ;
;;;;;;
9;Prado Chaves – Diretoria 8º andar;Metropolitan Plaza;Metropolitan Plaza - Correspondências Recebidas, Expedidas, Contratos, Orçamentos, Propostas, Documentos, Minutas;-; ;
;;;;;;
10;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI - Correspondências Recebidas e Expedidas - 1989 a 1990;1988 a 1990; ;
10;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Documentos Diversos - 1988 a 1990;; ;
;;;;;;
11;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Recebidas, Expedidas, Diversos - 1991;1991 a Set/1992; ;
11;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Recebidas Janeiro a Setembro de 1992 e Diversos;; ;
;;;;;;
12;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Recebidas Outubro a Dezembro - 1992;Out/1992 a Jun/1993; ;
12;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Expedidas e Diversos - 1993;; ;
12;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Recebidas Janeiro a Junho - 1993;;;
;;;;;;
13;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI- Correspondências Recebidas - Julho a Dezembro - 1993;Jul/1993 a Abr/1994;;
13;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Recebidas - Janeiro a Abril - 1994;;;
;;;;;;
14;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Recebidas - Maio a Dezembro - 1994 ;Mai/1994 a Dez/1995;;
14;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Expedidas, Diversos, Documentos Legais - 1994 ;;;
14;Prado Chaves – Diretoria 8º andar;FIABCI; FIABCI -Correspondências Recebidas Janeiro a Dezembro - 1995 ;;;
;;;;;;
